district_name,district_code,region,name_clean,area_km2,elev_mean,elev_median,elev_sd,precip_mean,travel_time_mean,travel_time_median,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density
Bekwai,GHA2.22_2,Ashanti,bekwai,537.7718105058365,229.40045166015625,221.64892170418153,44.91016387939453,1339.6817626953125,49.87415695,47.494814237915435,0.19399999999999998,0.1,0.7913309863922551,0.20866901360774492,16239,137967,0.11770205918806671,256.5530533670519
Bosome Freho,GHA2.23_2,Ashanti,bosome freho,571.4715660020668,252.59365844726563,202.0722295068433,125.59537506103516,1405.2249755859375,86.571746826171875,76.35528588480985,0.313,0.1,0.6628279800413591,0.3371720199586409,7961,62259,0.12786906310734192,108.94505291935178
Bosomtwe,GHA2.24_2,Ashanti,bosomtwi,424.4651040057184,219.5644989013672,232.56249880237476,59.11067199707031,1318.2327880859375,71.91133880615234,69.70363908819297,0.161,0.1,0.837302602,0.162697398,20157,165180,0.12203051216854341,389.14859770845777
Ejisu,GHA2.25_2,Ashanti,ejisu,413.25241129824775,242.58871459960938,242.51962811716626,41.73503875732422,1327.3328857421875,76.11791992,74.63663942,0.135,0.1,0.826290747,0.17370925314627605,20923,180723,0.11577386386901502,437.31868238167567
Ejura-Sekyedumase,GHA2.26_2,Ashanti,ejura sekyedumase,1346.4440844405524,217.59515380859375,198.68002653014108,66.12235260009766,1213.3802490234375,148.62564086914063,148.60772011319045,0.25,0.1,0.5658795511068538,0.43412044889314616,19586,137672,0.1422656749375327,102.24858320589134
Juaben,GHA2.27_2,Ashanti,juaben,171.97142634972207,277.3347473144531,278.3756231508635,31.34170150756836,1305.9049072265625,96.41169738769531,91.65985848970611,0.209,0.1,0.7417350053322547,0.25826499466774533,7916,63929,0.12382486821317398,371.74198852077683
Kumasi,GHA2.28_2,Ashanti,kumasi metropolitan area,21.72023290540901,266.1066589355469,267.8023678703181,12.988641738891602,1403.4083251953125,49.13141632080078,49.079613059533116,0.089,0,0.8769217762451675,0.12307822375483246,41445,443981,0.093348589,20440.894991021712
Kwabre East,GHA2.29_2,Ashanti,kwabre east,123.53778076051118,307.6311035,306.48745968444115,16.858247756958008,1335.8983154296875,72.674957275390625,70.99028460433615,0.106,0,0.8480408709712021,0.15195912902879793,37376,296814,0.12592397932712068,2402.6172250527957
Kwadaso,GHA2.30_2,Ashanti,kwadaso,64.36058273496694,246.98948669433594,246.75827520799123,15.761168479919434,1378.672852,50.92808914,50.785156291828024,0.095,0,0.9041410534840063,0.095858947,15317,154526,0.099122478,2400.9415924080254
Mampong,GHA2.31_2,Ashanti,mampong,673.3540085238462,292.0931396484375,307.59599036999504,104.37718200683594,1236.6561279296875,145.1741943359375,136.1684632276103,0.225,0.1,0.7586548665478645,0.24134513345213549,13714,116632,0.11758351052884286,173.21052302886764
Obuasi,GHA2.32_2,Ashanti,obuasi,146.36893505745024,214.1681671142578,194.0618699642225,58.97417068481445,1382.2977294921875,7.926630497,3.906365737348119,0.111,0,0.8590598872040203,0.14094011279597973,10707,104297,0.10265875336778622,712.5624023913484
Obuasi East,GHA2.33_2,Ashanti,obuasi east,75.34026892462748,181.08624267578125,176.50172057639776,20.27152442932129,1376.2579345703125,14.313010215759277,11.724245274464007,0.131,0.1,0.8214272340319299,0.17857276596807015,10049,92401,0.10875423426153397,1226.449033417183
Offinso,GHA2.34_2,Ashanti,offinso,588.3678989989616,314.8317565917969,307.39674314459097,44.71366882324219,1281.8851318359375,76.42099762,72.00285690246331,0.235,0.1,0.7049261168979479,0.29507388310205207,17870,137272,0.13017949763972259,233.30980536761453
Offinso North,GHA2.35_2,Ashanti,offinso north,950.1957881690414,319.0514221191406,318.6700480369139,56.37065505981445,1224.530762,81.27498626708984,66.86932103271727,0.34299999999999997,0.1,0.5515660260740826,0.44843397392591744,11518,83440,0.13803930968360498,87.81348122031024
Oforikrom,GHA2.36_2,Ashanti,oforikrom,45.55913451992756,258.5877380371094,257.78620448786523,11.88819408416748,1363.05127,56.08110427856445,55.86867921,0.1,0,0.8875905243756624,0.11240947562433756,17681,213126,0.082960315,4678.008093125182
Old Tafo,GHA2.37_2,Ashanti,old tafo,29.236986803482704,279.1450500488281,280.70623676589577,14.905282974243164,1380.650634765625,54.885353088378906,54.61609744882767,0.092,0,0.8646114089014062,0.1353885910985938,12474,114368,0.10906897034135422,3911.7574177095603
Sekyere Afram Plains North,GHA2.38_2,Ashanti,sekyere afram plains,3541.8185555887662,135.68959045410156,133.7084001349746,27.097515106201172,1260.8883056640625,276.4140319824219,260.56834642722947,0.505,0.2,0.3665794034143284,0.6334205965856716,5072,33226,0.1526515379522061,9.381056504876984
Sekyere Central,GHA2.39_2,Ashanti,sekyere central,1638.8280512397555,194.66049194335938,159.5786408315066,93.885223388671875,1226.2159423828125,206.4219512939453,208.05497228937222,0.39799999999999996,0.2,0.6063590778848659,0.39364092211513413,9815,73228,0.13403342983558203,44.68315022103986
Sekyere East,GHA2.40_2,Ashanti,sekyere east,240.2629452525185,267.0190124511719,256.5489897794763,41.93141555786133,1297.302001953125,106.66322326660156,103.67800453137389,0.17300000000000001,0.1,0.7972311036209857,0.2027688963790143,9392,74789,0.12557996496811027,311.2797935669859
