time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country,poverty_H,mpi_index,literacy_rate,census_pop,census_pop_density,avg_hh_size,households,pop_dens_std,poverty_std
1,2014,DHS 2014,12,Afigya-Kwabre South,GHA2.6_2,Ashanti,afigya kwabre south,224.01131751966423,273.770751953125,277.8235778808594,66.49312591552734,71.08880615234375,360.12359619140625,1.508090615272522,8.661874771118164,1.0935200788059045,0.007878449639806816,0.2521346867176148,-0.9712358866659372,-0.5262891471445991,GHA,0.13,0.1,0.8408671889601107,234667,1047.5676077366063,NA,NA,0.9797259072371836,-1.083611850802164
2,2022,DHS 2022,12,Afigya-Kwabre South,GHA2.6_2,Ashanti,afigya kwabre south,224.01131751966423,273.770751953125,277.8235778808594,66.49312591552734,71.08880615234375,556.677978515625,4.9931769371032715,8.710624694824219,1.0935200788059045,0.6025125270581717,1.0875424041239516,-0.6542525289325172,-0.5262891471445991,GHA,0.13,0.1,0.8408671889601107,234667,1047.5676077366063,NA,NA,0.9797259072371836,-1.083611850802164
1,2014,DHS 2014,13,Ahafo-Ano North,GHA2.7_2,Ashanti,ahafo ano north,596.2397379469718,228.0140380859375,228.0541229248047,77.62138366699219,78.001434326171875,342.0356140136719,0.053227249532938,8.673580169677734,0.6073695543171211,-0.04684294841518645,-0.5799767026840122,-0.8951246590588322,-0.37144743068357094,GHA,0.265,0.1,0.7046485767967382,92742,155.54481544510585,NA,NA,-0.22281948794091738,-0.08069085187916096
2,2022,DHS 2022,13,Ahafo-Ano North,GHA2.7_2,Ashanti,ahafo ano north,596.2397379469718,228.0140380859375,228.0541229248047,77.62138366699219,78.001434326171875,512.7149658203125,0.2674870491027832,8.726922988891602,0.6073695543171211,0.4695116486982701,-0.4023868787957151,-0.5482772250539588,-0.37144743068357094,GHA,0.265,0.1,0.7046485767967382,92742,155.54481544510585,NA,NA,-0.22281948794091738,-0.08069085187916096
1,2014,DHS 2014,14,Ahafo-Ano South East,GHA2.8_2,Ashanti,ahafo ano south east,689.293224871085,272.5342712402344,273.49652099609375,103.69374084472656,103.64142608642578,347.23443603515625,0.02997949905693531,8.653644561767578,1.0803828646948381,-0.031115002287237268,-0.6013822881014936,-1.0247506246689775,-0.008669300652031602,GHA,0.318,0.1,0.6145411383461763,63468,92.07692417384501,NA,NA,-0.5515660142913867,0.3130485032535734
2,2022,DHS 2022,14,Ahafo-Ano South East,GHA2.8_2,Ashanti,ahafo ano south east,689.293224871085,272.5342712402344,273.49652099609375,103.69374084472656,103.64142608642578,513.38385009765625,0.18730509281158447,8.68243408203125,1.0803828646948381,0.4715352178522861,-0.46505937074457476,-0.8375544588710887,-0.008669300652031602,GHA,0.318,0.1,0.6145411383461763,63468,92.07692417384501,NA,NA,-0.5515660142913867,0.3130485032535734
1,2014,DHS 2014,15,Ahafo-Ano South West,GHA2.9_2,Ashanti,ahafo ano south west,506.8048793740951,322.2128601074219,326.96649169921875,120.97371673583984,122.70854949951172,353.6690368652344,0.01258015353232622,8.664861679077148,1.6082020630696783,-0.011648466446598846,-0.6177214278444662,-0.9518143154694688,0.23176915675456114,GHA,0.319,0.1,0.627574277940938,65770,129.7738097573687,NA,NA,-0.33655452668431335,0.3204775476900401
2,2022,DHS 2022,15,Ahafo-Ano South West,GHA2.9_2,Ashanti,ahafo ano south west,506.8048793740951,322.2128601074219,326.96649169921875,120.97371673583984,122.70854949951172,529.84832763671875,0.05994448065757751,8.711735725402832,1.6082020630696783,0.5213450429797999,-0.573879684633221,-0.6470283493527325,0.23176915675456114,GHA,0.319,0.1,0.627574277940938,65770,129.7738097573687,NA,NA,-0.33655452668431335,0.3204775476900401
1,2014,DHS 2014,16,Amansie Central,GHA2.10_2,Ashanti,amansie central,853.540387686188,178.8441162109375,172.7322235107422,62.51527404785156,69.16490936279297,334.38568115234375,0.04714442789554596,8.727499961853027,0.08495478087016946,-0.06998621653018987,-0.5855315312650331,-0.5445256124824825,-0.581638099763669,GHA,0.28600000000000003,0.1,0.6563170373715705,93052,109.01885996543075,NA,NA,-0.4458281596425645,0.07531908128663961
2,2022,DHS 2022,16,Amansie Central,GHA2.10_2,Ashanti,amansie central,853.540387686188,178.8441162109375,172.7322235107422,62.51527404785156,69.16490936279297,564.21112060546875,0.2568141520023346,8.7662506103515625,0.08495478087016946,0.6253024691784485,-0.4104965688244858,-0.2925598709671248,-0.581638099763669,GHA,0.28600000000000003,0.1,0.6563170373715705,93052,109.01885996543075,NA,NA,-0.4458281596425645,0.07531908128663961
