time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density,rainfall_sep_dec,temp_sep_dec,elev_std,rainfall_std,temp_std,travel_std,poverty_std,illiteracy_std,pop_dens_std
2,2022,DHS 2022,233,Kpando,GHA14.14_2,Volta,kpando,315.4125308824545,119.82819366455078,111.33484649658203,61.79096221923828,72.38053894042969,0.23399999999999999,0.1,0.7855093956719418,0.21449060432805822,5882,58552,0.1004577128022954,185.63625178804548,395.38507080078125,NA,-0.54245073776350194,0.11455464873960801,NA,-0.5852940522812029,-0.3109912294096285,-0.7129307636234351,-0.11164777519661949
1,2014,DHS 2014,234,North Dayi,GHA14.15_2,Volta,north dayi,464.74380934685655,143.7481231689453,118.3119888305664,79.14701843261719,90.3196792602539,0.301,0.1,0.7794920966992097,0.2205079033007903,3907,39268,0.09949577263929918,84.49386352275809,356.4116516113281,NA,-0.289156316003509,-0.003351260503017541,NA,-0.343874684277258,0.1867547478336396,-0.6802831340032448,-0.6053005287409934
2,2022,DHS 2022,234,North Dayi,GHA14.15_2,Volta,north dayi,464.74380934685655,143.7481231689453,118.3119888305664,79.14701843261719,90.3196792602539,0.301,0.1,0.7794920966992097,0.2205079033007903,3907,39268,0.09949577263929918,84.49386352275809,441.491455078125,NA,-0.289156316003509,0.2540398484775166,NA,-0.343874684277258,0.1867547478336396,-0.6802831340032448,-0.6053005287409934
1,2014,DHS 2014,235,North Tongu,GHA14.16_2,Volta,north tongu,1136.5885537730858,30.580108642578125,30.59104347229004,122.83409881591797,125.04582977294922,0.384,0.2,0.6359093228989452,0.3640906771010548,14114,111410,0.12668521676689704,98.02139888718469,277.6803894042969,NA,-1.4875221722204517,-0.24153618883108396,NA,0.26380411132055387,0.8033654360603748,0.09874367522013638,-0.5124200903295381
2,2022,DHS 2022,235,North Tongu,GHA14.16_2,Volta,north tongu,1136.5885537730858,30.580108642578125,30.59104347229004,122.83409881591797,125.04582977294922,0.384,0.2,0.6359093228989452,0.3640906771010548,14114,111410,0.12668521676689704,98.02139888718469,394.3792419433594,NA,-1.4875221722204517,0.11151172439672945,NA,0.26380411132055387,0.8033654360603748,0.09874367522013638,-0.5124200903295381
1,2014,DHS 2014,236,South Dayi,GHA14.17_2,Volta,south dayi,359.753006794938,170.20736694335938,149.05348205566406,65.01482391357422,86.66553497314453,0.29,0.1,0.7551469558432204,0.24485304415677955,6177,57518,0.1073924684446608,159.88191596348688,363.28485107421875,NA,-0.008972427885626908,0.017442163551943238,NA,-0.5404507628143967,0.10503525903250598,-0.5481954406179805,-0.205539597955378
2,2022,DHS 2022,236,South Dayi,GHA14.17_2,Volta,south dayi,359.753006794938,170.20736694335938,149.05348205566406,65.01482391357422,86.66553497314453,0.29,0.1,0.7551469558432204,0.24485304415677955,6177,57518,0.1073924684446608,159.88191596348688,455.3676452636719,NA,-0.008972427885626908,0.2960193528339949,NA,-0.5404507628143967,0.10503525903250598,-0.5481954406179805,-0.205539597955378
1,2014,DHS 2014,237,South Tongu,GHA14.18_2,Volta,south tongu,646.1562648348638,8.113564491271973,8.720300674438477,131.29481506347656,130.58770751953125,0.324,0.1,0.6657019856636731,0.3342980143363269,12838,113114,0.11349611895963364,175.05672568060328,226.72500610351563,NA,-1.72542631440051,-0.3956910185543884,NA,0.3814910296062749,0.35762276987237357,-0.0629002490305558,-0.1485462352728202
2,2022,DHS 2022,237,South Tongu,GHA14.18_2,Volta,south tongu,646.1562648348638,8.113564491271973,8.720300674438477,131.29481506347656,130.58770751953125,0.324,0.1,0.6657019856636731,0.3342980143363269,12838,113114,0.11349611895963364,175.05672568060328,267.0617980957031,NA,-1.72542631440051,-0.27366051071902336,NA,0.3814910296062749,0.35762276987237357,-0.0629002490305558,-0.1485462352728202
1,2014,DHS 2014,238,Ahanta West,GHA15.1_2,Western,ahanta west,556.7794671514299,NA,37.05782699584961,NA,151.8085174560547,0.272,0.1,0.7077146348915369,0.29228536510846315,17713,153140,0.11566540420530234,275.0460622829502,286.86785888671875,NA,NA,-0.2137414260031673,NA,NA,-0.028687540823894103,-0.29084528177196634,0.13584108700554554
